,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1264,2845,89700.0,90200.0,91200.0,88700.0
1265,68,360000.0,352800.0,352200.0,333500.0
1266,1008,408090.0,373867.0,389166.0,341064.0
1267,386,149700.0,152300.0,169800.0,161300.0
1268,2717,77100.0,80400.0,89300.0,85500.0
1269,1431,373100.0,348600.0,394600.0,364500.0
1270,1773,150600.0,141500.0,139600.0,134000.0
1271,1698,166900.0,159500.0,165000.0,160600.0
1272,1310,135300.0,143500.0,142800.0,144700.0
1273,1290,99300.0,94500.0,99400.0,97400.0
1274,2477,78700.0,68500.0,69900.0,78500.0
1275,55,124300.0,122800.0,124700.0,122000.0
1276,240,161400.0,153100.0,127500.0,130700.0
1277,1573,88300.0,86700.0,88600.0,85200.0
1278,2072,80300.0,78600.0,82300.0,78100.0
1279,1472,64300.0,60400.0,66000.0,69900.0
1280,116,328500.0,322000.0,389600.0,311900.0
1281,840,185300.0,173400.0,166500.0,159000.0
1282,188,100300.0,95000.0,81000.0,79000.0
1283,1064,60300.0,63000.0,67300.0,64800.0
1284,1729,54800.0,53400.0,49900.0,50400.0
1285,1630,95900.0,94400.0,95200.0,95100.0
1286,1772,115200.0,114064.0,98400.0,100400.0
1287,30,377700.0,372800.0,406500.0,378800.0
1288,815,86800.0,80600.0,72900.0,73300.0
1289,592,101800.0,90400.0,93300.0,87100.0
1290,85,91600.0,88100.0,81600.0,80700.0
1291,50,268300.0,262500.0,261800.0,250900.0
1292,1275,132300.0,131300.0,134900.0,136200.0
1293,1195,174500.0,172800.0,184400.0,175100.0
1294,1375,183300.0,179000.0,178300.0,177500.0
1295,944,134542.0,136246.0,151327.0,145374.0
1296,682,192800.0,176400.0,174000.0,166200.0
1297,413,184700.0,181400.0,173700.0,170100.0
1298,2039,70900.0,70800.0,71100.0,70900.0
1299,1892,165100.0,153800.0,147600.0,136000.0
1300,1664,73100.0,70200.0,74500.0,71300.0
1301,1446,124800.0,123400.0,125000.0,124000.0
1302,1837,80400.0,69700.0,69200.0,67300.0
1303,2539,316100.0,305200.0,268200.0,296100.0
1304,97,410800.0,395500.0,387600.0,370700.0
1305,2317,60700.0,57300.0,58700.0,56100.0
1306,1693,139700.0,135400.0,144200.0,138900.0
1307,1675,99600.0,64200.0,76400.0,74500.0
1308,2483,128500.0,135200.0,175800.0,153900.0
1309,700,86300.0,86200.0,80800.0,79500.0
1310,2480,71400.0,69100.0,69400.0,68300.0
1311,58,245700.0,227500.0,259300.0,233500.0
1312,1616,104200.0,85800.0,90800.0,83400.0
1313,1026,59500.0,59500.0,57100.0,58900.0
1314,662,118200.0,119700.0,118500.0,119300.0
1315,1262,102200.0,95200.0,88300.0,87300.0
1316,1276,83000.0,75200.0,78400.0,76600.0
1317,419,93700.0,93100.0,88700.0,88900.0
1318,470,65200.0,64000.0,61600.0,63100.0
1319,1073,1126000.0,1048000.0,1125500.0,1053700.0
1320,297,415100.0,389000.0,472400.0,388500.0
1321,388,114910.0,109697.0,104511.0,104582.0
1322,1429,198100.0,185100.0,187700.0,173700.0
1323,21,404000.0,395600.0,400800.0,379300.0
1324,2475,90100.0,89500.0,95200.0,91200.0
1325,1421,172400.0,169200.0,177200.0,170000.0
1326,351,153300.0,142200.0,137300.0,142100.0
1327,1544,71100.0,67500.0,71900.0,68400.0
1328,657,113000.0,112300.0,112900.0,111600.0
1329,999,185900.0,178100.0,168900.0,164900.0
1330,2186,93900.0,99200.0,91600.0,95800.0
1331,3003,71826.0,68723.0,63962.0,64032.0
1332,1088,53800.0,50800.0,51600.0,51300.0
1333,378,332800.0,291200.0,329000.0,280200.0
1334,82,218300.0,203000.0,189000.0,182300.0
1335,207,185800.0,176500.0,178400.0,164500.0
1336,43,219700.0,210800.0,198100.0,192600.0
1337,941,210100.0,203900.0,207700.0,204100.0
1338,164,234600.0,221400.0,205700.0,205500.0
1339,14,864000.0,897100.0,1085800.0,965300.0
1340,1538,77400.0,72200.0,70900.0,71200.0
1341,718,84000.0,82400.0,77500.0,79300.0
1342,230,184800.0,175600.0,153800.0,154700.0
1343,427,303100.0,317000.0,308000.0,318700.0
1344,1363,96700.0,88000.0,89000.0,77400.0
1345,1007,79000.0,79000.0,98400.0,97300.0
1346,2665,84100.0,97500.0,79600.0,82200.0
1347,2297,70500.0,70000.0,74500.0,74100.0
1348,1621,147400.0,138600.0,154400.0,143500.0
1349,195,96700.0,99700.0,104200.0,99100.0
1350,3027,115617.0,115650.0,128364.0,117765.0
1351,1547,76200.0,75800.0,79100.0,77900.0
1352,2286,43200.0,42900.0,48800.0,43900.0
1353,180,181400.0,171000.0,151400.0,151900.0
1354,64,343300.0,341400.0,376900.0,344900.0
1355,152,197400.0,188200.0,176000.0,169300.0
