,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
49,83,306800,297900,274800,285700,299400,308800,309700,321600,-8900,-23100,10900,13700,9400,900,11900,-2.900912647,-7.75427996,3.966521106,4.795239762,3.139612558,0.291450777,3.842428156
50,139,176900,164400,148300,164800,183000,186200,200000,219600,-12500,-16100,16500,18200,3200,13800,19600,-7.066139062,-9.793187348,11.12609575,11.04368932,1.74863388,7.411385607,9.8
51,825,62400,54500,52200,59900,55800,54200,58200,58800,-7900,-2300,7700,-4100,-1600,4000,600,-12.66025641,-4.220183486,14.75095785,-6.844741235,-2.867383513,7.380073801,1.030927835
52,1818,110000,99600,92000,101300,99400,107700,115200,122800,-10400,-7600,9300,-1900,8300,7500,7600,-9.454545455,-7.630522088,10.10869565,-1.875616979,8.350100604,6.963788301,6.597222222
53,468,133000,134400,118100,111700,122300,122600,127900,142100,1400,-16300,-6400,10600,300,5300,14200,1.052631579,-12.12797619,-5.419136325,9.489704566,0.245298446,4.323001631,11.10242377
54,1824,154700,151100,149600,152900,160900,172500,183400,179200,-3600,-1500,3300,8000,11600,10900,-4200,-2.32708468,-0.992720053,2.205882353,5.232177894,7.209446861,6.31884058,-2.290076336
55,78,200600,199100,188100,208300,231600,255800,295900,325700,-1500,-11000,20200,23300,24200,40100,29800,-0.74775673,-5.524861878,10.73896863,11.18578973,10.44905009,15.67630962,10.07096992
56,2375,99200,98400,98700,101100,107100,114900,120600,126100,-800,300,2400,6000,7800,5700,5500,-0.806451613,0.304878049,2.431610942,5.934718101,7.282913165,4.960835509,4.56053068
57,1044,291000,245000,229200,235700,252300,270300,300500,320800,-46000,-15800,6500,16600,18000,30200,20300,-15.80756014,-6.448979592,2.835951134,7.042851082,7.134363853,11.172771,6.755407654
58,1920,51500,43900,51000,48000,51900,54000,57100,58000,-7600,7100,-3000,3900,2100,3100,900,-14.75728155,16.17312073,-5.882352941,8.125,4.046242775,5.740740741,1.576182137
59,202,513300,517900,525300,550800,578500,601900,608100,635900,4600,7400,25500,27700,23400,6200,27800,0.896162088,1.428847268,4.854368932,5.029048656,4.04494382,1.03007144,4.57161651
60,477,84900,83500,81800,83500,84800,86100,88000,90400,-1400,-1700,1700,1300,1300,1900,2400,-1.648998822,-2.035928144,2.078239609,1.556886228,1.533018868,2.206736353,2.727272727
61,1355,188500,183200,181700,184400,171400,176600,185500,190800,-5300,-1500,2700,-13000,5200,8900,5300,-2.811671088,-0.818777293,1.485965878,-7.04989154,3.033838973,5.039637599,2.857142857
62,821,129300,117900,115300,120300,115000,116800,122100,123500,-11400,-2600,5000,-5300,1800,5300,1400,-8.816705336,-2.205258694,4.336513443,-4.405652535,1.565217391,4.537671233,1.146601147
63,1512,110100,104600,101200,100600,106600,109800,113400,122200,-5500,-3400,-600,6000,3200,3600,8800,-4.995458674,-3.250478011,-0.592885375,5.964214712,3.001876173,3.278688525,7.760141093
64,368,87000,84400,80400,84300,82800,84700,82600,83900,-2600,-4000,3900,-1500,1900,-2100,1300,-2.988505747,-4.739336493,4.850746269,-1.779359431,2.29468599,-2.479338843,1.573849879
65,1842,170700,152900,148200,159800,160000,167400,172900,176400,-17800,-4700,11600,200,7400,5500,3500,-10.42765085,-3.073904513,7.827260459,0.125156446,4.625,3.285543608,2.024291498
66,498,115200,111400,111700,110600,111500,117600,119200,126300,-3800,300,-1100,900,6100,1600,7100,-3.298611111,0.26929982,-0.984780662,0.813743219,5.470852018,1.360544218,5.956375839
67,163,216000,202800,183900,181500,183200,182900,168700,161600,-13200,-18900,-2400,1700,-300,-14200,-7100,-6.111111111,-9.319526627,-1.305057096,0.936639118,-0.163755459,-7.763805358,-4.208654416
68,1792,77300,75700,74300,74500,74600,78400,83000,89100,-1600,-1400,200,100,3800,4600,6100,-2.069857697,-1.849405548,0.269179004,0.134228188,5.09383378,5.867346939,7.34939759
69,630,94700,92600,90600,89900,95300,99500,104900,111400,-2100,-2000,-700,5400,4200,5400,6500,-2.217529039,-2.159827214,-0.772626932,6.006674082,4.407135362,5.427135678,6.196377502
