,County,2010 Median Rent Price,2011 Median Rent Price,2012 Median Rent Price,2013 Median Rent Price,2014 Median Rent Price,2015 Median Rent Price,2016 Median Rent Price,2011 Rent Difference,2012 Rent Difference,2013 Rent Difference,2014 Rent Difference,2015 Rent Difference,2016 Rent Difference,2011 Rent Percent Change,2012 Rent Percent Change,2013 Rent Percent Change,2014 Rent Percent Change,2015 Rent Percent Change,2016 Rent Percent Change
85,1214,1100,979,1044,999,1020,1036,1058,-121,65,-45,21,16,22,-11,6.639427988,-4.310344828,2.102102102,1.568627451,2.123552124
86,645,1160,1168,1145,1229,1196,1241,1213,8,-23,84,-33,45,-28,0.689655172,-1.969178082,7.336244541,-2.685109845,3.762541806,-2.256244964
87,191,885,902,985,1000,1020,1099,1139,17,83,15,20,79,40,1.920903955,9.201773836,1.52284264,2,7.745098039,3.639672429
88,2381,808,757,751,759,831,820,833,-51,-6,8,72,-11,13,-6.311881188,-0.792602378,1.065246338,9.486166008,-1.323706378,1.585365854
89,235,1266,1374,1243,1253,1311,1445,1489,108,-131,10,58,134,44,8.530805687,-9.534206696,0.804505229,4.628890662,10.22120519,3.044982699
90,1896,1200,1032,1107,1048,1031,1135,1146,-168,75,-59,-17,104,11,-14,7.26744186,-5.329719964,-1.622137405,10.08729389,0.969162996
91,39,2166,2154,2165,2258,2522,2433,2438,-12,11,93,264,-89,5,-0.55401662,0.510677809,4.295612009,11.69176262,-3.528945282,0.205507604
92,232,1083,1136,1141,1202,1271,1288,1340,53,5,61,69,17,52,4.893813481,0.440140845,5.346187555,5.740432612,1.337529504,4.037267081
93,1359,1100,1171,1151,1174,1205,1199,1214,71,-20,23,31,-6,15,6.454545455,-1.70794193,1.998262381,2.640545145,-0.497925311,1.251042535
94,119,1200,1242,1202,1251,1222,1296,1283,42,-40,49,-29,74,-13,3.5,-3.220611916,4.076539101,-2.318145484,6.055646481,-1.00308642
95,306,1397,1525,1234,1394,1353,1509,1533,128,-291,160,-41,156,24,9.162491052,-19.08196721,12.96596434,-2.941176471,11.52993348,1.590457256
96,1872,983,949,963,942,960,948,968,-34,14,-21,18,-12,20,-3.458799593,1.475237092,-2.180685358,1.910828025,-1.25,2.109704641
97,1287,1180,848,929,1189,1232,1097,1031,-332,81,260,43,-135,-66,-28.13559322,9.551886792,27.98708288,3.616484441,-10.95779221,-6.016408387
98,1161,1074,1066,1098,1156,1196,1247,1278,-8,32,58,40,51,31,-0.744878957,3.001876173,5.282331512,3.460207612,4.264214047,2.485966319
99,307,937,911,860,957,904,1001,1032,-26,-51,97,-53,97,31,-2.774813234,-5.598243688,11.27906977,-5.538140021,10.7300885,3.096903097
100,2113,732,680,692,707,720,716,720,-52,12,15,13,-4,4,-7.103825137,1.764705882,2.167630058,1.838755304,-0.555555556,0.558659218
101,2176,885,845,899,870,830,830,805,-40,54,-29,-40,0,-25,-4.519774011,6.390532544,-3.225806452,-4.597701149,0,-3.012048193
102,1963,1823,1481,1587,1448,1565,1849,1832,-342,106,-139,117,284,-17,-18.76028524,7.157326131,-8.758664146,8.080110497,18.14696486,-0.9194159
103,2526,959,948,956,960,956,903,943,-11,8,4,-4,-53,40,-1.147028154,0.843881857,0.418410042,-0.416666667,-5.543933054,4.429678848
104,319,959,950,985,1057,1042,1104,1113,-9,35,72,-15,62,9,-0.938477581,3.684210526,7.30964467,-1.419110691,5.950095969,0.815217391
105,502,1219,1233,1236,1253,1276,1315,1350,14,3,17,23,39,35,1.148482363,0.243309002,1.375404531,1.835594573,3.056426332,2.661596958
106,1493,1345,1289,1241,1256,1380,1394,1425,-56,-48,15,124,14,31,-4.163568773,-3.723816912,1.208702659,9.872611465,1.014492754,2.223816356
107,327,1119,1197,1089,1281,1329,1397,1408,78,-108,192,48,68,11,6.970509383,-9.022556391,17.63085399,3.7470726,5.116629044,0.787401575
108,1281,990,1057,1137,1115,1145,1163,1173,67,80,-22,30,18,10,6.767676768,7.56859035,-1.934916447,2.69058296,1.572052402,0.859845228
109,1886,1136,1091,1058,1116,1068,1130,1137,-45,-33,58,-48,62,7,-3.961267606,-3.024747938,5.482041588,-4.301075269,5.805243446,0.619469027
110,1335,1079,1174,1141,1365,1370,1342,1336,95,-33,224,5,-28,-6,8.804448563,-2.810902896,19.63190184,0.366300366,-2.04379562,-0.44709389
111,764,1172,1209,1197,1236,1268,1229,1232,37,-12,39,32,-39,3,3.156996587,-0.992555831,3.258145363,2.588996764,-3.075709779,0.244100895
112,155,1706,1784,1921,2051,2092,2271,2235,78,137,130,41,179,-36,4.572098476,7.679372197,6.767308693,1.999024866,8.556405354,-1.585204756
113,927,1010,1017,953,956,1011,966,1017,7,-64,3,55,-45,51,0.693069307,-6.293018682,0.314795383,5.753138075,-4.451038576,5.279503106
114,1378,1140,1109,859,831,880,897,1081,-31,-250,-28,49,17,184,-2.719298246,-22.54283138,-3.259604191,5.896510229,1.931818182,20.51282051
115,1533,856,839,888,908,849,877,889,-17,49,20,-59,28,12,-1.985981308,5.840286055,2.252252252,-6.497797357,3.297997644,1.368301026
116,1748,999,1003,954,988,1002,1038,1018,4,-49,34,14,36,-20,0.4004004,-4.885343968,3.5639413,1.417004049,3.592814371,-1.926782274
117,1746,955,994,1026,1069,1052,1087,1105,39,32,43,-17,35,18,4.083769634,3.219315895,4.191033138,-1.590271282,3.326996198,1.655933763
118,509,1200,1239,1282,1291,1205,1080,1111,39,43,9,-86,-125,31,3.25,3.470540759,0.702028081,-6.661502711,-10.37344398,2.87037037
119,377,969,924,948,978,968,979,965,-45,24,30,-10,11,-14,-4.643962848,2.597402597,3.164556962,-1.022494888,1.136363636,-1.430030644
120,1565,1086,906,855,886,933,955,977,-180,-51,31,47,22,22,-16.57458564,-5.629139073,3.625730994,5.304740406,2.357984995,2.303664921
121,1213,1310,1405,1474,1515,1625,1711,1699,95,69,41,110,86,-12,7.251908397,4.911032028,2.781546811,7.260726073,5.292307692,-0.701344243
122,925,862,840,852,836,860,847,894,-22,12,-16,24,-13,47,-2.552204176,1.428571429,-1.877934272,2.870813397,-1.511627907,5.548996458
123,861,1243,1044,1157,1097,1116,1095,1125,-199,113,-60,19,-21,30,-16.00965406,10.82375479,-5.185825411,1.731996354,-1.88172043,2.739726027
124,1188,961,997,1071,1110,1182,1251,1332,36,74,39,72,69,81,3.746097815,7.4222668,3.641456583,6.486486486,5.837563452,6.474820144
125,2372,1051,1052,1064,1120,1187,1302,1344,1,12,56,67,115,42,0.095147479,1.140684411,5.263157895,5.982142857,9.688289806,3.225806452
126,949,921,889,908,945,976,965,971,-32,19,37,31,-11,6,-3.474484256,2.137232846,4.074889868,3.28042328,-1.12704918,0.621761658
127,80,1475,1486,1459,1491,1533,1714,1646,11,-27,32,42,181,-68,0.745762712,-1.816958277,2.193283071,2.816901408,11.80691455,-3.967327888
128,595,1789,1689,1783,1795,1785,1991,2068,-100,94,12,-10,206,77,-5.589714925,5.565423327,0.673022995,-0.557103064,11.54061625,3.867403315
129,20,1761,1531,1588,1640,1734,1811,1771,-230,57,52,94,77,-40,-13.06076093,3.723056826,3.274559194,5.731707317,4.440599769,-2.208724462
130,2053,874,888,873,888,874,770,745,14,-15,15,-14,-104,-25,1.601830664,-1.689189189,1.718213058,-1.576576577,-11.8993135,-3.246753247
