,County,Value_measure_1,Value_measure_2,Difference
240,411,306600.0,295100.0,-11500.0
241,288,94200.0,70500.0,-23700.0
242,1526,149700.0,129000.0,-20700.0
243,1576,144100.0,174600.0,30500.0
244,91,183200.0,151500.0,-31700.0
245,3088,149600.0,135700.0,-13900.0
246,1201,72900.0,76800.0,3900.0
247,2328,89900.0,97400.0,7500.0
248,404,119500.0,119500.0,0.0
249,1607,76700.0,80200.0,3500.0
250,559,136200.0,132500.0,-3700.0
251,1558,236600.0,240300.0,3700.0
252,336,129500.0,149300.0,19800.0
253,1021,100200.0,103200.0,3000.0
254,1263,142200.0,141300.0,-900.0
255,1419,118200.0,132600.0,14400.0
256,383,328800.0,300500.0,-28300.0
257,496,148300.0,129400.0,-18900.0
258,2232,115433.0,137723.0,22290.0
259,2902,96500.0,120900.0,24400.0
260,741,136000.0,138100.0,2100.0
261,768,188100.0,159100.0,-29000.0
262,809,163600.0,162900.0,-700.0
263,819,121500.0,120400.0,-1100.0
264,1346,104300.0,107600.0,3300.0
265,2068,93100.0,117700.0,24600.0
266,1927,74200.0,73700.0,-500.0
267,1864,89600.0,85400.0,-4200.0
268,243,293400.0,284200.0,-9200.0
269,1541,201800.0,205100.0,3300.0
270,800,78100.0,87300.0,9200.0
271,1745,61700.0,63800.0,2100.0
272,555,203000.0,210400.0,7400.0
273,2914,74100.0,77500.0,3400.0
274,2042,66794.0,65025.0,-1769.0
275,612,71600.0,72800.0,1200.0
276,543,93700.0,91100.0,-2600.0
277,488,249100.0,215700.0,-33400.0
278,402,258200.0,276000.0,17800.0
279,1402,147700.0,172100.0,24400.0
280,2280,64300.0,73700.0,9400.0
281,1983,60500.0,55900.0,-4600.0
282,1518,100600.0,99000.0,-1600.0
283,807,112200.0,130400.0,18200.0
284,1365,156300.0,158000.0,1700.0
285,1293,156400.0,185600.0,29200.0
286,844,120157.0,150221.0,30064.0
287,1726,80100.0,88700.0,8600.0
288,2217,111400.0,130300.0,18900.0
289,2887,95400.0,95600.0,200.0
290,864,87000.0,83100.0,-3900.0
291,2707,78200.0,63300.0,-14900.0
292,271,116700.0,107300.0,-9400.0
293,1466,120900.0,119500.0,-1400.0
294,433,71300.0,71900.0,600.0
295,434,100100.0,107800.0,7700.0
296,371,220500.0,201000.0,-19500.0
297,2076,116100.0,135600.0,19500.0
298,1941,90600.0,92500.0,1900.0
299,272,180553.0,202602.0,22049.0
300,648,87900.0,96700.0,8800.0
301,951,244100.0,278300.0,34200.0
302,754,58867.0,55702.0,-3165.0
303,1669,162900.0,178600.0,15700.0
304,1253,129100.0,125200.0,-3900.0
305,692,98388.0,102688.0,4300.0
306,285,276800.0,252500.0,-24300.0
307,135,224600.0,238400.0,13800.0
308,1783,152423.0,153880.0,1457.0
309,1283,124400.0,141200.0,16800.0
310,1581,231100.0,243800.0,12700.0
311,1234,145000.0,141900.0,-3100.0
312,1469,223400.0,236300.0,12900.0
313,2199,69000.0,64600.0,-4400.0
314,298,75600.0,75600.0,0.0
315,1458,77293.0,77162.0,-131.0
316,701,138400.0,147400.0,9000.0
317,1776,112000.0,90700.0,-21300.0
318,466,228600.0,225900.0,-2700.0
319,408,81400.0,89800.0,8400.0
320,589,82300.0,86800.0,4500.0
321,834,96000.0,95600.0,-400.0
322,1248,175400.0,190500.0,15100.0
323,2528,73800.0,79000.0,5200.0
324,2065,67600.0,56000.0,-11600.0
325,820,140000.0,132100.0,-7900.0
326,617,80400.0,77700.0,-2700.0
327,554,70200.0,72800.0,2600.0
328,1525,71800.0,79000.0,7200.0
329,190,248300.0,238400.0,-9900.0
330,1413,174100.0,167800.0,-6300.0
331,94,307500.0,308900.0,1400.0
